アイテム名,コード,リテール分類コード,企業コード,企業名,営業月,対象年月日,対象年月日 (コピー),店舗コード,店舗名,店舗設定名,表示コード,Vポイント値引き額(税込み),Vポイント値引額(標準税率分/税込),Vポイント値引額(軽減税率分/税込),値引金額,売上数量,売上金額,売上金額(Vポイント値引き前),売上金額(標準税率分/税抜),売上金額(軽減税率分/税抜),客数,買取数
ハード,52,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ハード　　　　　　　　　　　　　　　　　,14,0,0,0,0,0,0,0,0,0,0,0
コミックレンタル,75,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,コミック　　　　　　　　　　　　　　　　,15,1272,1390,0,21686,728,36144,37416,36144,0,13,0
返却ＢＯＸ,89,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,返却ＢＯＸ　　　　　　　　　　　　　　　,16,0,0,0,0,0,0,0,0,0,0,0
ＣＤ0ＰＰＴ,100,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＣＤ0ＰＰＴ　　　　　　　　　　　　　　,17,0,0,0,0,0,0,0,0,0,0,0
ＭＡＸＩ0ＰＰＴ,101,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＭＡＸＩ0ＰＰＴ　　　　　　　　　　　　,18,0,0,0,0,0,0,0,0,0,0,0
ＶＨＳ0ＰＰＴ,120,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＶＨＳ0ＰＰＴ　　　　　　　　　　　　　,19,0,0,0,0,0,0,0,0,0,0,0
ＤＶＤ0ＰＰＴ,121,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＤＶＤ0ＰＰＴ,20,1447,1589,0,27572,168,33673,35120,33673,0,42,0
ブルーレイ0ＰＰＴ,122,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ブルーレイ0ＰＰＴ　　　　　　　　　　　,21,10,10,0,9,1,364,374,364,0,4,0
ゲームソフト0ＰＰＴ,140,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ゲームソフト0ＰＰＴ　　　　　　　　　　,22,0,0,0,0,0,0,0,0,0,0,0
ハード0ＰＰＴ,152,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ハード0ＰＰＴ　　　　　　　　　　　　　,23,0,0,0,0,0,0,0,0,0,0,0
コミック0ＰＰＴ,175,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,コミック0ＰＰＴ　　　　　　　　　　　　,24,0,0,0,0,0,0,0,0,0,0,0
ＶＨＳ0ＰＳＳ,220,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＶＨＳ0ＰＳＳ　　　　　　　　　　　　　,25,0,0,0,0,0,0,0,0,0,0,0
ＤＶＤ0ＰＳＳ,221,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＤＶＤ0ＰＳＳ　　　　　　　　　　　　　,26,8000,8800,0,27572,168,33673,41673,33673,0,5,0
ＶＨＳ0ＵＦ,320,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＶＨＳ0ＵＦ　　　　　　　　　　　　　　,27,0,0,0,0,0,0,0,0,0,0,0
ＣＤ0プロモーション,400,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＣＤ0プロモーション　　　　　　　　　　,28,0,0,0,0,0,0,0,0,0,0,0
ＶＨＳ0プロモーション,420,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＶＨＳ0プロモーション　　　　　　　　　,29,0,0,0,0,0,0,0,0,0,0,0
VRハード,421,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,0,9999,0,0,0,0,0,0,0,0,0,0,0
VRソフト,422,1,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,0,9999,0,0,0,0,0,0,0,0,0,0,0
入会,2190,2,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,入会　　　　　　　　　　　　　　　　　　,30,0,0,0,0,0,0,0,0,0,0,0
変更,2191,2,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,変更　　　　　　　　　　　　　　　　　　,31,0,0,0,0,12,1330,1330,1330,0,12,0
継続,2192,2,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,継続　　　　　　　　　　　　　　　　　　,32,0,0,0,213,9,651,651,651,0,9,0
再発行,2193,2,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,再発行　　　　　　　　　　　　　　　　　,33,215,233,0,0,1,215,430,0,0,1,0
レンタル年会費,2194,2,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,レンタル年会費　　　　　　　　　　　　　,34,0,0,0,119,21,1401,1401,1401,0,21,0
定額レンタルサービス入会,2195,2,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,定額レンタルサービス入会　　　　　　　　,35,119,130,0,0,1,119,238,119,0,1,0
定額レンタルサービス継続,2196,2,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,定額レンタルサービス継続　　　　　　　　,36,0,0,0,0,0,0,0,0,0,0,0
定額レンタルサービス解約,2197,2,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,定額レンタルサービス解約　　　　　　　　,37,0,0,0,0,0,0,0,0,0,0,0
譲渡,2198,2,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,0,9999,0,0,0,0,0,0,0,0,0,0,0
相続,2199,2,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,0,9999,0,0,0,0,0,0,0,0,0,0,0
ＣＤＳ,1002,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＣＤＳ　　　　　　　　　　　　　　　　　,40,0,0,0,0,0,0,0,0,0,0,0
アナログ,1003,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,アナログ　　　　　　　　　　　　　　　　,41,0,0,0,0,0,0,0,0,0,0,0
ＴＲグッズ,1004,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＴＲグッズ　　　　　　　　　　　　　　　,42,0,0,0,0,0,0,0,0,0,0,0
ＭＴ,1005,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＭＴ　　　　　　　　　　　　　　　　　　,43,0,0,0,0,0,0,0,0,0,0,0
ＤＬ音楽（課税）,1006,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＤＬ音楽（課税）　　　　　　　　　　　　,44,0,0,0,0,0,0,0,0,0,0,0
ＳＡＣＤ,1007,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＳＡＣＤ　　　　　　　　　　　　　　　　,45,0,0,0,0,0,0,0,0,0,0,0
ＤＶＤＡ,1008,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＤＶＤＡ　　　　　　　　　　　　　　　　,46,0,0,0,0,0,0,0,0,0,0,0
映像その他,1020,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,映像その他　　　　　　　　　　　　　　　,47,0,0,0,0,0,0,0,0,0,0,0
ＤＶＤ,1021,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＤＶＤ　　　　　　　　　　　　　　　　　,48,0,0,0,0,0,0,0,0,0,0,0
ブルーレイ,1022,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ブルーレイ　　　　　　　　　　　　　　　,49,0,0,0,0,0,0,0,0,0,0,0
ＤＬ映像（課税）,1023,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＤＬ映像（課税）　　　　　　　　　　　　,50,0,0,0,0,0,0,0,0,0,0,0
ＤＬ映像（非課税）,1024,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＤＬ映像（非課税）　　　　　　　　　　　,51,0,0,0,0,0,0,0,0,0,0,0
ゲームソフト,1040,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ゲームソフト　　　　　　　　　　　　　　,52,0,0,0,2809,1,2810,2810,2810,0,1,0
ゲームハード,1041,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ゲームハード　　　　　　　　　　　　　　,53,0,0,0,0,0,0,0,0,0,0,0
ゲームサプライ,1042,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ゲームサプライ　　　　　　　　　　　　　,54,0,0,0,0,0,0,0,0,0,0,0
ＤＬゲーム（課税）,1043,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＤＬゲーム（課税）　　　　　　　　　　　,55,0,0,0,0,1,2182,2182,2182,0,5,0
ＴＯＹ＆ＨＯＢＢＹ,1044,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＴＯＹ＆ＨＯＢＢＹ　　　　　　　　　　　,56,0,0,0,0,0,0,0,0,0,0,0
ＤＬゲーム（非課税）,1045,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＤＬゲーム（非課税）　　　　　　　　　　,57,0,0,0,0,0,0,0,0,0,0,0
金券ＰＯＳＡ,1046,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,金券ＰＯＳＡ　　　　　　　　　　　　　　,58,0,0,0,0,2,7800,7800,7800,0,4,0
金券ＰＯＳＡ（Ｔマネー他）,1047,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,金券ＰＯＳＡ（Ｔマネー他）　　　　　　　,59,0,0,0,0,0,0,0,0,0,0,0
トレカ,1048,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,トレーディングカード　　　　　　　　　　,60,0,0,0,60,192,50722,50722,50722,0,16,0
ブランクメディア,1050,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ブランクメディア　　　　　　　　　　　　,61,0,0,0,0,0,0,0,0,0,0,0
アクセサリー,1051,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,アクセサリー　　　　　　　　　　　　　　,62,0,0,0,0,2,4764,4764,4764,0,2,0
ハード,1052,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ハード　　　　　　　　　　　　　　　　　,63,0,0,0,0,0,0,0,0,0,0,0
文房具,1053,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,文房具　　　　　　　　　　　　　　　　　,64,0,0,0,499,138,44016,44016,44016,0,16,0
グッズ,1054,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,グッズ　　　　　　　　　　　　　　　　　,65,0,0,0,0,35,65180,65180,65180,0,0,0
ＤＰＥ,1055,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＤＰＥ　　　　　　　　　　　　　　　　　,66,0,0,0,0,0,0,0,0,0,0,0
チケット,1056,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,チケット　　　　　　　　　　　　　　　　,67,0,0,0,0,0,0,0,0,0,0,0
金券,1057,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,金券　　　　　　　　　　　　　　　　　　,68,0,0,0,0,0,0,0,0,0,0,0
その他物販,1059,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,その他物販　　　　　　　　　　　　　　　,69,0,0,0,16,168,2935,2935,2935,0,16,0
ラウンジ,1060,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ラウンジ　　　　　　　　　　　　　　　　,70,0,0,0,0,0,0,0,0,0,0,0
Ｃａｆｅ,1061,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,Ｃａｆｅ　　　　　　　　　　　　　　　　,71,0,0,0,0,0,0,0,0,0,0,0
モバイルハード,1062,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,モバイルハード　　　　　　　　　　　　　,72,0,0,0,0,0,0,0,0,0,0,0
モバイル通信,1063,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,モバイル通信　　　　　　　　　　　　　　,73,0,0,0,0,0,0,0,0,0,0,0
モバイルサービス,1064,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,モバイルサービス,74,0,0,0,0,0,0,0,0,0,0,0
家電（ハード）,1065,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,家電（ハード）,75,0,0,0,0,0,0,0,0,0,0,0
家電（その他）,1066,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,家電（その他）　　　　　　　　　　　　　,76,0,0,0,0,0,0,0,0,0,0,0
コミックグッズ,1069,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,コミックグッズ　　　　　　　　　　　　　,77,0,0,0,0,0,0,0,0,0,0,0
週刊誌,1070,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,週刊誌　　　　　　　　　　　　　　　　　,78,0,0,0,0,0,0,0,0,0,0,0
雑誌,1071,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,雑誌　　　　　　　　　　　　　　　　　　,79,0,0,0,12443,281,237261,237261,237261,0,5,0
ムック,1072,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ムック　　　　　　　　　　　　　　　　　,80,0,0,0,0,0,0,0,0,0,0,0
文庫,1073,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,文庫　　　　　　　　　　　　　　　　　　,81,0,0,0,0,0,0,0,0,0,0,0
新書,1074,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,新書　　　　　　　　　　　　　　　　　　,82,0,0,0,0,0,0,0,0,0,0,0
コミック,1075,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,コミック　　　　　　　　　　　　　　　　,83,0,0,0,2941,169,105068,105068,105068,0,8,0
書籍,1076,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,書籍　　　　　　　　　　　　　　　　　　,84,0,0,0,5015,331,379160,379160,379160,0,6,0
洋書,1077,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,洋書　　　　　　　　　　　　　　　　　　,85,0,0,0,0,0,0,0,0,0,0,0
カレンダー,1078,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,カレンダー　　　　　　　　　　　　　　　,86,0,0,0,0,0,0,0,0,0,0,0
手帳,1079,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,手帳　　　　　　　　　　　　　　　　　　,87,0,0,0,0,0,0,0,0,0,0,0
ＢＯＯＫ未分類,1080,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,ＢＯＯＫ未分類　　　　　　　　　　　　　,88,0,0,0,0,0,0,0,0,0,0,0
プリペイドカード販売,1099,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,プリペイドカード販売　　　　　　　　　　,89,0,0,0,0,0,0,0,0,0,0,0
店舗設定９００,1900,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９００,90,0,0,0,0,8,8000,8000,8000,0,4,0
店舗設定９０１,1901,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９０１,91,0,0,0,0,0,0,0,0,0,0,0
店舗設定９０２,1902,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９０２,92,0,0,0,0,0,0,0,0,0,0,0
店舗設定９０３,1903,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９０３,93,0,0,0,0,0,0,0,0,0,0,0
店舗設定９０４,1904,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９０４,94,0,0,0,0,0,0,0,0,0,0,0
店舗設定９０５,1905,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９０５,95,0,0,0,0,0,0,0,0,0,0,0
店舗設定９０６,1906,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９０６,96,0,0,0,0,0,0,0,0,0,0,0
店舗設定９０７,1907,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９０７,97,0,0,0,0,0,0,0,0,0,0,0
店舗設定９０８,1908,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９０８,98,0,0,0,0,0,0,0,0,0,0,0
店舗設定９０９,1909,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９０９,99,0,0,0,0,0,0,0,0,0,0,0
店舗設定９１０,1910,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９１０,100,0,0,0,0,0,0,0,0,0,0,0
店舗設定９１１,1911,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９１１,101,0,0,0,0,0,0,0,0,0,0,0
店舗設定９１２,1912,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９１２,102,0,0,0,0,0,0,0,0,0,0,0
店舗設定９１３,1913,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９１３,103,0,0,0,0,0,0,0,0,0,0,0
店舗設定９１４,1914,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９１４,104,0,0,0,0,0,0,0,0,0,0,0
店舗設定９１５,1915,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９１５,105,0,0,0,0,0,0,0,0,0,0,0
店舗設定９１６,1916,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９１６,106,0,0,0,0,0,0,0,0,0,0,0
店舗設定９１７,1917,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９１７,107,0,0,0,0,0,0,0,0,0,0,0
店舗設定９１８,1918,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９１８,108,0,0,0,0,0,0,0,0,0,0,0
店舗設定９１９,1919,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９１９,109,0,0,0,0,0,0,0,0,0,0,0
店舗設定９２０,1920,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９２０,110,0,0,0,0,0,0,0,0,0,0,0
店舗設定９２１,1921,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９２１,111,0,0,0,0,1,200,200,200,0,1,0
店舗設定９２２,1922,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９２２,112,0,0,0,0,0,0,0,0,0,0,0
店舗設定９２３,1923,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９２３,113,0,0,0,0,2,6000,6000,6000,0,2,0
店舗設定９２４,1924,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９２４,114,0,0,0,0,0,0,0,0,0,0,0
店舗設定９２５,1925,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９２５,115,0,0,0,0,46,88510,88510,88510,0,4,0
店舗設定９２６,1926,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９２６,116,0,0,0,0,1,400,400,400,0,1,0
店舗設定９２７,1927,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９２７,117,0,0,0,0,1,236,236,236,0,1,0
店舗設定９２８,1928,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９２８,118,0,0,0,0,0,0,0,0,0,0,0
店舗設定９２９,1929,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９２９,119,0,0,0,0,0,0,0,0,0,0,0
店舗設定９３０,1930,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９３１,120,0,0,0,0,3,4138,4138,4138,0,2,0
店舗設定９３１,1931,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９３１,121,0,0,0,0,0,0,0,0,0,0,0
店舗設定９３２,1932,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９３２,122,0,0,0,0,0,0,0,0,0,0,0
店舗設定９３３,1933,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９３３,123,0,0,0,0,0,0,0,0,0,0,0
店舗設定９３４,1934,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９３４,124,0,0,0,0,0,0,0,0,0,0,0
店舗設定９３５,1935,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９３５,125,0,0,0,0,0,0,0,0,0,0,0
店舗設定９３６,1936,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９３６,126,0,0,0,0,0,0,0,0,0,0,0
店舗設定９３７,1937,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９３７,127,0,0,0,0,0,0,0,0,0,0,0
店舗設定９３８,1938,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９３８,128,0,0,0,0,0,0,0,0,0,0,0
店舗設定９３９,1939,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９３９,129,0,0,0,0,0,0,0,0,0,0,0
店舗設定９４０,1940,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９４０,130,0,0,0,0,0,0,0,0,0,0,0
店舗設定９４１,1941,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９４１,131,0,0,0,0,0,0,0,0,0,0,0
店舗設定９４２,1942,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９４２,132,0,0,0,0,0,0,0,0,0,0,0
店舗設定９４３,1943,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９４３,133,0,0,0,0,0,0,0,0,0,0,0
店舗設定９４４,1944,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９４４,134,0,0,0,0,0,0,0,0,0,0,0
店舗設定９４５,1945,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９４５,135,0,0,0,0,0,0,0,0,0,0,0
店舗設定９４６,1946,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９４６,136,0,0,0,0,0,0,0,0,0,0,0
店舗設定９４７,1947,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９４７,137,0,0,0,0,0,0,0,0,0,0,0
店舗設定９４８,1948,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９４８,138,0,0,0,0,0,0,0,0,0,0,0
店舗設定９４９,1949,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９４９,139,0,0,0,0,0,0,0,0,0,0,0
店舗設定９５０,1950,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９５０,140,0,0,0,0,0,0,0,0,0,0,0
店舗設定９５１,1951,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９５１,141,0,0,0,0,0,0,0,0,0,0,0
店舗設定９５２,1952,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９５２,142,0,0,0,0,0,0,0,0,0,0,0
店舗設定９５３,1953,3,99992,テスト企業2,2024年9月,20240902,2024/2/9,9902,テスト店舗2,店舗設定９５３,143,0,0,0,0,0,0,0,0,0,0,0
